index,comment,expression_emoji,label
23,තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ...ලැජ්ජයි යකෝ...තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,😡,1
24,අපොයි 2020 ජනාධිපති නෙද හුත්තෝ උබ උබ හොදයි නගරසභාවේ toilet සුද්ද කරන්න.හිකුණ්ඨික සක්කිලියා,😡,1
25,මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,😡,1
26,තෝ වගෙ එකෙක් අනේ මන්ද යකෝ...වැදගත් දෙයක් කරපිය....ගොන් වස්සෙක්....ඉදකින් හුත්තො,😡,1
27,"ඇයි යකෝ ලංකාවේ පොලිසිය,නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා",😂,2
28,පොලිස්සිය තාමත් කැද හැලි වගේ. තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා.,😡,1
29,තුවක්කු පුහුනුව දෙන්නෙ training එකේ විතරයි.. ඉලක්කයක් අරන් වෙඩි තියන්න කී දෙනාද දක්ෂ. නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවට.අනිත් එක සාමාන්‍ය මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ.,😡,1
30,පාතාල කාරයන්ට මනුස්සකමක් නැනේ.මුන් බයික් වලට නගිනකන් ඉවසන්න තිබුනේ.නැත්තන් තත්වය බලල stf ගෙනන්න තිබුනේ. කොහේද ලොක්කො දෙන අණ නේ.. අපරාදෙ වටින ජීවිතයක්.,😂,2
31,.ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා...මුන්ව හිරේ යවන්නනම් එපා..මරලා දානවා මිසක්,😡,1
32,අනේ මෙහෙමත් කුහක මිනිස්සු...,😂,2
33,මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා. පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා.,😡,1
34,මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්...,😂,2
35,මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් stf පුහුණුවක් අවශයයි..මොකද හොරාට පන්න ගන්න බැ...මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ...ගොන් වැඩ ගොඩක් තියෙනව..,😡,1
36,කතා කරෝත් මහ ලොකුවට අපි.දකුණේ..කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව ..උස්සන්න..ඔය උස්සපු අයියා විතරයි..පිරිමි යේක් කියලා.,😡,1
37,මමනං දැක්කේ..අනිත් ඔක්කෝම පිරිමී ..අපි..අදින ගවුම් වලට වඩා..හෝද නයිටි ටිකක් ඇදගන්න...ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න....දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා....අනේ ප්ලීස්..ඔය මංකොල්ල කාරයෝ.,😡,1
38,ඔක්කෝම .කෝහෝම හරි...වෙඩිතියල මරලා දාන්න..පොලිස්පති තුමනි..අයේත් මේවැනි දේ නොවෙන්න....,😂,2
39,මව් බිම නැති නම් මරණය....මෙයයි තේමා පාටය විය යුත්තේ ...ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි.,😡,1
40,තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව.තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද.මේක මහ මෝඩයෙක්,😡,1
41,Ashi Hashi ඔවාට දකුණේ එකෙක් ඒක කෙලින් කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව,😂,2
42,මත්ද්‍රව්‍යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,😡,1
43,යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්.. ඇමති අයගේ වාහන වලට කෝටි ප්‍රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ...,😡,1
44,අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ.එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව,😂,2
45,තවත් එක් සෝමාලියාවක් වගේ.ශිට්,😂,2
46,පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා...,😡,1
47,ත්‍රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා. හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව.,😡,1
48,කියන්න නම් එපා අපි දකුනේ කියලා....විලි ලැජ්ජයි යකෝ.,😡,1
49,ඕකුන්වත් පෝලිමට තියලා මරලා දාපල්ලා. අර අහිංසකයට වුනා වගේම.,😡,1
50,"වෙනසෙ සැප පේනවනේ ,මෙි රටෙි නිතිය බල්ලට ගිහින්",😡,1
51,දැන් බැන බැන මේකෙ පෝස්ට් දැම්මට මේවා පිලිවෙලට මහින්දගෙ කාලෙ සිද්ධ උනා... ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ...,😡,1
52,තුවාල වලට බේත් දානවා වගේ.....කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි,😡,1
53,ඇත්තම කියනවනම් ලංකාව හරිම කාලකන්නි රටක්.,😡,1
54,කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන,😡,1
55,මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි,😡,1
56,ඒත් උඹ අර හොටු පෙරං අඬන හෙලු කෙල්ලොංගෙ videosui අනික් ලබ්බවල් වලට වඩා මේ කරපු වැඩේනම් great බං...,😡,1
57,මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද...තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ...ශාප වෙයි උඹලට මේ ආත්මෙම..,😡,1
58,උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා 3 පාරක් වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක් අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙයක් කුඩු කරලා හොදටම බීලා වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දිත් කොහොමද යකො ඌට ඇප දෙන්නෙ,😡,1
59,NGO වලින්ද එතකොට ලංකාවෙ නිතිය ක්රියාත්මක කරන්නෙ නොදකිං කලකිරෙනවා මෙවා දැක්කම මොනද මෙ අපෙ රටට වෙන්නෙ,😡,1
60,ගොං හුත්තී... හැමිනියන් වෙසී... තොට සාප වේනවා බැල්ලීයේ...,😡,1
61,කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි. බලයට ධනයට ආගම ජාතිය විකුණනවා. උන් දන්නෙ නැ උන්ට වෙන්නේ මොකක්ද කියල. මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන්. අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි,😡,1
62,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,😡,1
63,"අපේ හමුදාව බර අවි, කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකලා කියලා මේ හුත්තිගෙ මිනිහා කිව්වා,, ඒකම මේ හුත්තිත් කියනවා,,, එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද.... මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින්.",😡,1
64,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,😡,1
65,සංඝා වහන්සේ ..නමකට..විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපයට....නුඹට මතු මතුත් සාප වෙිවා....,😡,1
66,කැරි වේසි හෙනගහපිය,😡,1
67,මේ වගේ ගැනු මේ රටේන් එලවන්න ඔන නොදකින් ශාපවේවා,😡,1
68,අපේ අමන පාලකයොන්ගේ වැරදි,😡,1
69,ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ,😡,1
70,පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව,😡,1
71,මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්‍ය ගෙෘරව ජනතාවට දෙවියෝ,😂,2
72,හෙන හත ගහපන්,😡,1
73,මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්.....,😡,1
74,හෙන ගහනවා කැරි වෙසිට,😡,1
75,අපරාද කාරයෝ රට පාවලා දෙන උන් රකින සක්කිලි ආන්ඩුව,😡,1
76,සාප වේවා.... තිට හෙන හතම වැදියන්....,😡,1
77,පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී,😡,1
78,ජම්පරේ ගස්සන්ඩ ඕනී.ආයේ චීවරේ නොදාන්නම,😡,1
79,LTTE එකට කඩේ යන ..NGO සල්ලි වලට රට පාවා දෙන හැත්ත ....,😡,1
80,මෙි ගැනිට සාප වෙිවා,😡,1
81,පනපිටින් අපායෙ පල කොටිදෙන,😡,1
82,කොටි දෙනක්,😡,1
83,හම්පඩ පඩංගු දෙමළු වේසාවි .......,😡,1
84,එහෙමද ...ආස...කැරී wecii...,😡,1
85,බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ .,😡,1
86,තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ,😂,2
87,ලංකාවෙි මිනිස්සුන්ට මොනතරමි හොද කලත් වැඩක් නැ ඒ අයගේ ආකල්ප වෙනස්කරන්න බැ..මෙි කමෙන්ටි වලින් ඒදේ වැටහෙනවා.මහා මෝඩ මිනිස්සු..බහුතරයක්,😂,2
88,"පොලීසිය ගොං ආතල් දෙනවා , පූජිතයෝ උබට තියෙන වැඩ මේවද?",😡,1
89,"මේ යුද්ධයේ සැබෑම අවසානය වෙන්න ඕන මේකයි. දැන්වත් කඩප්පුලි විග්නේෂ්වරන්, සිවාජිලිංගම්, සම්බන්ධන්, සුමන්තිරන් වැනි කාළක්නි දේශපාලකයින් දේශපාලනයෙන් අතුගා දැමිය යුතුයි.",😂,2
90,"මෙතන දී. අර( පාර්ලිමේන්තුවේ ) ඉන්න ( කක්කූසි කටා ) නොහොත් දත් දොස්තර කාල කන්නි රාජිතයා මතක් වෙනකොට මගේ මාළු නටනවා,,",😡,1
91,කෝ අපේ නානසාර ස්වාමීන් වහන්සේ ඒ හිමියනට පුළුවන් මේ වගේ සෙබළුන්ගෙන් ආදර්ශ එහෙම ලබාගන්න . බුදුන්ගෙන් ආදර්ශ ලබාගත්තේ නැතිකොට ඉතින් මොකෙක්ගෙන්වත් ආදර්ශ ගනීද ?,😂,2
92,ලංකාවේ තම හරක් ඉන්න නිසා ඕවා හොඳට පිළිගන්නවා...,😡,1
93,අපේ හරකුන්ට ගහක් හිටවන්න ගියත් කුඩයක් අල්ලන්න ඔනේ බහින්න වලකුත් හාරලා දෙන්න ඔනේ.අපි හරි පවු නේ,😡,1
94,දැන් ටික කාලෙකට කලින් පාලත් සභා මන්ත්‍රී ජුන්ඩේක් පොලිස් මහතෙක් හැදුලුම් පත ඉල්ලූවා කියලා දාපු ගෙම්බර් මතක් වුනා,😂,2
95,Shampoo එකක් promote කරන්න දාපු ලස්සන මුට්ටියක් කියලයි මටනම් හිතෙන්නෙ... බලපං නැද්ද කියලා තා ටික දවසකින්..,😂,2
96,අම්මෝ ඒක හොදයි ඒත් දාගෙන යන්නේ පාරෙ නේද?,😂,0
97,මූ ජයරත්නගෙ නෑදෑයෙක්ද කොහෙද.!,😂,0
98,වැස්සොත් ශොට් වෙල මැරෙන්නෙ,😂,0
99,ඇඩ් නම් ඇඩ් ... ලංකාව දියුනු නෑ කියන වුන් ට කනට ගහලා මෙක පෙන්නපල්ලා..,😂,2
100,මේක දියුණුවක් කියලා හිතනවා නම් උබට වැරදිලා සහෝදරයා,😂,0
101,ගෙදරට වෙලා පාඩම් කරපල්ලකෝ. පැය ගනන් පෝලීමේ ඉන්නේ,😡,1
102,මෙච්චර අමාරුවෙන් පුටුවක් අල්ලගන්න ඕනිද... ගහක් යට වාඩිවෙලා පාඩම් කරන්න පුළුවන් .,😂,0
103,Comments බලන්න ආපු අය මෙතනින් පොඩි Like එකක් ඕනේ Bro..,😂,0
104,විඩීයෝ එක අප්සට් පේන්නේ නෑ හරියට....,😂,0
105,යක්කුන්ට ලජ්ජා කරන්න එපා මුන්ට සමානකරලා,😡,1
106,ඒකෙන් මේකෙන් උනේ ගීතට නමටහරි හිටිය මිනිහ නැතිවුන එක විතරයි,😂,0
107,මුන් ගෙන් ඇති වැඩක් නැ තමයි. ඒ උනාට ඉඩල හිටලා වැදගත් දෙවලුත් නොකියන වම නෙවෙයි ..,😂,2
108,බයිසන්ලට ඉතින් සුරංගනාවියන් තමයි,😂,2
109,මීට කලින් දැකලැ නැ,😂,0
110,මටනම් හිතෙන්නේ මේ මිනිහා තමයි ඇත්ත ඩයල් එක කියලා,😂,0
111,දුප්පත් මිනිසුන් සියගනනකට පැල්පතක් තනාදෙන්න තීබු අපුරුව නේද,😂,0
112,"පිහි ඇනුම්, ගුටි කෙලි ඇතුලු විනෝද ක්‍රීඩා රැසකුත් ඇති නෙහ්...??",😡,1
113,මෙක ගෑන දන්න එකෙක් කියපන් හරියටම දන්න එකෙක් කන්ටැක් කර ගන්න ඔනී,😂,0
114,ඊළඟට මේවල සාමාන්‍ය මිනිස්සුන්ට යන්න බැරි වෙන විදිහට ගණන් වැඩි විශේෂ ටිකට් එකක් නිකුත් කරන්න ඕනේ.,😂,0
115,දවස අන්තිමේ යාඩ් එකට ගෙනල්ලා නැවැත්තුවාම එතන ආරක්ෂාවත් වැඩි කරන්න වෙනවා. රෑට ෆෑන් පන්නන අයත් ඉන්න පුළුවන් නේ.,😂,0
116,තව මේවා ඇතුල සතියකට දෙසැරයක් වත් පිරිසිදු කරන්න ඕනේ. විශේෂයෙන්ම ටොයිලට්. තව පිටත මසෙට දෙසැරයක් වත් ක්ලීන් කරන්න ඕනේ. එහෙම කලොත් ඔන්න අවුරුදු 5ක් වත් ලස්සනට තියාගතහැකි.,😂,0
117,"ලංකාවට ඕව හරියන්නෙ නෑ බන්....අපි සුපෝකබෝගී දේවල් විදින්න කලින් අපේ මනස හුරුකරගන්න ඕන අනිත් උන්ටත් ඒක විදින්න ඉතුරුකරල යන්න..අපි සිංහලනෙ...සිංහයන්ගෙන්ලුනෙ පැවතගෙන එන්නෙ...අපිට බෑ ප්‍රෙන්...අපිට වනන්තර වගේ ඒව ගෙනත් දෙන්න..ඒවනම් හරි යනව...මම දැකල තියනවනෙ අලුතින්ම ගෙනාපු කෝච්චි වලට අපේ ඔපිස් යන සෙට්,ට්‍රිප් යන සෙට්,සිගිති පාතාල කාරයො කරන වැඩ..බොකක් ලෝඩ්වෙලා කෝච්චියෙ ටොයිලට් එකට ගියොත් පුදුම හාස්කමක් වෙන්නෙ...බොක නැතිවෙනව..එක්කෝ බොක කටින් යන්න එනව..",😡,1
118,ඒකටනම් දුම්‍රිය දෙපාර්තුමේන්තුවත් වගකියන්න ඕන..කෝච්චිය රෑ අවසාන ට්‍රිප් එක ගිහින් ආවහම කිසිම නඩත්තුවක් නැතුව ආපහු පහුවදා උදේට එන්ජිම අනිත් පැත්තට අමුනල ඇදගෙන එනව වගේ මටනම් පේන්නෙ...ඒකට වරදක් කියන්නත් බෑ බං..හරියට maintenance කරන්න හරියට සේවකයො ගන්න ඕන..උන්ට පඩියක් ගෙවන්න ඕන..ඒව කොරන්න කොහෙඩ රටට සල්ලි...රටින් ගන්න ණය අදාර ඔක්කොම ගිහිනුත් මදි පාර්ලිමේන්තුව නඩත්තු කරන්න...මට තේරෙන්නෙ නෑ..කතා කරල වැඩක් නෑ..මේ කෝච්චියෙ යන්න ටයි කරන්න එපා ප්‍රෙන් තෙප්පමක් හදාගෙන හරි කමක් නෑ ජීවත් වෙන්න පුලුවන් රටකට පලයල්ල...,😂,0
119,මේ comment වල තියෙන අදහස් Facebook එක ඇතුලේම පල් නොකර ස්ටේෂන් වලයි දුම්රිය මැදිරි ඇතුලෙයි මිනිස්සුන්ට දැනෙන විදිහට Display කළා නම් භාෂා 3න්ම පින්තූරත් එක්ක පොඩි වෙනසක් හරි දකින්න පුළුවන්.,😂,0
120,ඔය පොටෝ ටිකම තව මාසයකින් අරන් බලන්න සීට් ටිකයි එන්ජිමයි විතරයි ඉතුරු අනිත් ඔක්කොම ගලවනවා සත්තයි අපේ එඋන්,😂,0
121,සාමාන්‍ය මිනිස්සුන්ගෙන් පරිස්සම් කරගන්න පුලුවන්. ඒත් කෝච්චි වල යන ඔෆිස් සෙට් එක කියලා අමුතුම සත්තු ජාතියක්. උන් කන දේ එකෙම දානවා හොර ගෑනු එක්ක එකතු වෙලා සීට් හුරනවා. ගොඩක්ම කෝච්චි විනස කරන්නේ ඒ අහිගුන්ටකයෝ.,😡,1
122,විනයක් නැති පිරහෙමින් තිබෙන ජාතිය බදු මුදල් වලින් ගන්නා මේවා කොපමන කල් රැකගනීවිද මන්දා? මිනිසුනේ පොදු දේපල රැකගනිව්. බලි කුරුටු ගා අපවිත්‍ර නොකරව්....,😂,2
123,ෂීට් කඩලා ජරා කරන එකෙක් දැක්කොත් පොන්නයෝ වගේ බලන් ඉන්නැතුව අත පුරෝල කන පැලෙන්න ගහපන් අනිත් උන්ටත් පෙන්න,😡,1
124,මගිජනතාව වගේම දුමිරිය දෙපාර්තමේන්තු සේවකයන් තුත් මෙය රැකගන්න කටයුතු කලයුතුයි .මොකද ගමන් වාරයක් අවසන මෙම දුමිරිය මැදිරි ඉතා හොදින් පිරිසිදු කර අඩුපාඩු සැකසිය යුතුයිි .දැන් බලන්න රැහුනු කුමාරි ගාලුකුමාරි ෆැන් වැඩ නැ මකුනුදැල් බැදිල හුඩි එක දුවිලිවලින් පිරිල.මෙව රැකගන්න දෙගොල්ල ම දායක වියයුතුමයි,😂,0
125,අපේ එවුන්ට ලියන්න සිට් ඉරන්න .කඩල කන්න .බඩ ඉරුගු කන්න එ කාපු එවා එතන ම දලා යන්න.ට්‍ර්ප් ගිහිල්ලා බොක කරලා එන්න ආපු අලුත් භාන්ඩේ ...දැන් කියන්න එපා අපො ඉංදියන් ජාරාව කියලා ඉස්සල්ලා පුරුදු වේයල්ලා .කඩල ගොටු .කුනු මල ජාරාව .මානසික ලෙඩ්ඩු වගේ ලියන එවා .නවත්තන්න ..පස්සේ හොයපල්ලා ඇද කුද,😡,1
126,ඔය කොච්චිය අගුලාන කොරලවෙල්ල මොරටුව එ දුම්රිය ස්තාන වල නවත්තන්න එපා ඔය කොච්චියේ තියන සෙප පහසුකම් ටික මාසයක් යනකොට එ පෙත්තේ ගෙවල් වල තියෙයි,😂,0
127,යන එවුන්ටයි මේ කියන්නේ. මොන තරම් options අවත් කමක් නෑ .. එවගේ ඒ විදිහිට ගිහින් එක පරිස්සමෙන් පාවිච්චි කරන්න.. අපේ දෙවල් රැක ගන්න.,😂,0
128,"යකෝ හැම එකාම කියන්නෙ සතියෙන් කයි කියලා, බලන් යද්දි මෙව්වා කන්ඩ එකෙක් නෑනෙ",😂,2
129,Usb port එකෙ චුයින්ගම් අලවාවි..වඩේ කාල කර්ටන් එකේ අත පිහිදලා.කම්මැලිකමට sheet එක කුශන් කෑලි කඩලා.tv එක කැඩුන කියල පොඩි අව්ලක් හදල රෙපයාර් කරන එඋන් ගෙදර ගෙනියලා.fan ගලවල ටිකට් කවුන්ටරෙට සෙට් කරලා.ටොයිලට් ටික වටේට ජරා කරලා... අර ස්ටෙසමේ නවත්තනකොටම සුද්ද කරන්න නගින සෙට් එකක් ඉන්නොනෙ බූමිතෙල් වැදිච්ච ගැරඩි වගේ cleaners ලා..උන් තමයි ඕකෙ තීන කුනු පේන ටික අතුගාල අනිත්ව ශීටඅස්සට තල්ලු කරල ලොකුම සේවය කරන්නෙ,😡,1
130,"ඕක සතියයි, ඉවරයි ගාගා කමෙන්ට් දාන්නේ පිටරට උන් වෙන්නැති දැන්..",😂,2
131,අපේ මහින්ද මහත්තයා ඇවිත් මාසයයි. කොහොමද එයාගෙ වැඩ..ටොයියොන්ට ජෙප්පොන්ට පේන්න ලයික් එකක් දාන්න.,😡,1
132,මට තියෙන ප්‍රශ්නේ අර ටීවි එක අඩු වැඩි කරන සුවිච් එකෙන් අපේ උන් ආතල් ගනීද කියලා,😂,0
133,අපේ රටට ඕව හරියන් නෑ මොකද මිනිස්සු අඩුයි දැන් ඒ වගේම සමහරුන්ට මොලයක් නෑ මේක නඩත්තු වෙන්නෙ අපේ බදු මුදලින් කියල ඒක නිසා මේව උපරිම මාසයයි පිලිවෙලට තියෙන්නෙ,😂,0
134,මාස කීයක් මේ පිලිවෙලට තියෙයිද දන්නෙ නෑ.ඕක ඇතුලේ කෑලි ටිකත් ගලවගෙන නොගියොත් තමයි පුදුම,😂,0
